S,C_soul
1.155778894472361928e+00,6.958041958041958353e-01
1.180904522613065444e+00,6.877880184331796043e-01
1.206030150753768959e+00,6.799544419134396778e-01
1.231155778894472475e+00,6.722972972972971473e-01
1.256281407035175990e+00,6.648106904231626535e-01
1.281407035175879505e+00,6.574889867841409163e-01
1.306532663316583021e+00,6.503267973856209361e-01
1.331658291457286536e+00,6.433189655172413257e-01
1.356783919597990051e+00,6.364605543710021296e-01
1.381909547738693567e+00,6.297468354430378890e-01
1.407035175879397082e+00,6.231732776617954217e-01
1.432160804020100597e+00,6.167355371900825611e-01
1.457286432160804113e+00,6.104294478527607648e-01
1.482412060301507628e+00,6.042510121457489447e-01
1.507537688442211143e+00,5.981963927855711294e-01
1.532663316582914659e+00,5.922619047619046562e-01
1.557788944723618174e+00,5.864440078585462235e-01
1.582914572864321689e+00,5.807392996108948768e-01
1.608040201005025205e+00,5.751445086705202492e-01
1.633165829145728720e+00,5.696564885496182562e-01
1.658291457286432236e+00,5.642722117202269017e-01
1.683417085427135751e+00,5.589887640449437978e-01
1.708542713567839266e+00,5.538033395176252816e-01
1.733668341708542782e+00,5.487132352941176405e-01
1.758793969849246297e+00,5.437158469945355677e-01
1.783919597989949812e+00,5.388086642599277942e-01
1.809045226130653328e+00,5.339892665474060829e-01
1.834170854271356843e+00,5.292553191489360875e-01
1.859296482412060358e+00,5.246045694200351939e-01
1.884422110552763874e+00,5.200348432055749148e-01
1.909547738693467389e+00,5.155440414507772573e-01
1.934673366834170904e+00,5.111301369863012756e-01
1.959798994974874420e+00,5.067911714770798604e-01
1.984924623115577935e+00,5.025252525252524860e-01
2.010050251256281673e+00,4.983305509181969462e-01
2.035175879396985188e+00,4.942052980132449758e-01
2.060301507537688703e+00,4.901477832512314836e-01
2.085427135678392219e+00,4.861563517915308830e-01
2.110552763819095734e+00,4.822294022617124032e-01
2.135678391959799249e+00,4.783653846153845812e-01
2.160804020100502765e+00,4.745627980922098033e-01
2.185929648241206280e+00,4.708201892744479089e-01
2.211055276381909795e+00,4.671361502347417538e-01
2.236180904522613311e+00,4.635093167701863082e-01
2.261306532663316826e+00,4.599383667180276802e-01
2.286432160804020342e+00,4.564220183486238369e-01
2.311557788944723857e+00,4.529590288315629154e-01
2.336683417085427372e+00,4.495481927710843206e-01
2.361809045226130888e+00,4.461883408071748436e-01
2.386934673366834403e+00,4.428783382789316936e-01
2.412060301507537918e+00,4.396170839469808467e-01
2.437185929648241434e+00,4.364035087719297934e-01
2.462311557788944949e+00,4.332365747460086847e-01
2.487437185929648464e+00,4.301152737752161337e-01
2.512562814070351980e+00,4.270386266094420291e-01
2.537688442211055495e+00,4.240056818181817677e-01
2.562814070351759010e+00,4.210155148095909294e-01
2.587939698492462526e+00,4.180672268907562605e-01
2.613065326633166041e+00,4.151599443671766254e-01
2.638190954773869557e+00,4.122928176795579991e-01
2.663316582914573072e+00,4.094650205761316553e-01
2.688442211055276587e+00,4.066757493188010719e-01
2.713567839195980103e+00,4.039242219215155583e-01
2.738693467336683618e+00,4.012096774193548154e-01
2.763819095477387133e+00,3.985313751668891902e-01
2.788944723618090649e+00,3.958885941644562090e-01
2.814070351758794164e+00,3.932806324110671992e-01
2.839195979899497679e+00,3.907068062827224741e-01
2.864321608040201195e+00,3.881664499349804509e-01
2.889447236180904710e+00,3.856589147286821340e-01
2.914572864321608225e+00,3.831835686777920191e-01
2.939698492462311741e+00,3.807397959183673186e-01
2.964824120603015256e+00,3.783269961977185902e-01
2.989949748743718771e+00,3.759445843828715383e-01
3.015075376884422287e+00,3.735919899874843852e-01
